State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NC,North Carolina,07/01/2019,N,U,Y,24319,,N/A,,24319,,31858,,3014,,34872,,1173572,,1738840,,32.7673,-89.6812,"(32.7673, -89.6812)",1471327,,267513,
ND,North Dakota,07/01/2019,Y,U,Y,2090,,N/A,,2090,,2312,,70,,2382,,42191,,89895,,46.9048,-110.3261,"(46.9048, -110.3261)",87799,,2096,
NH,New Hampshire,07/01/2019,Y,U,Y,8014,,N/A,,8014,,5009,,466,,5475,,89372,,178761,,47.5362,-99.793,"(47.5362, -99.793)",163979,,14782,
ID,Idaho,07/01/2019,Y,U,Y,12649,,,,12649,,9452,,1198,,10650,,187915,,265493,,42.0046,-93.214,"(42.0046, -93.214)",239694,,25799,
MN,Minnesota,07/01/2019,Y,U,Y,5970,,18350,,24320,,18460,,67,,18527,,528982,,1046325,,43.3504,-84.5603,"(43.3504, -84.5603)",1045036,,1289,
LA,Louisiana,07/01/2019,Y,U,Y,32263,,N/A,,32263,,17601,,2232,,19833,,721884,,1516298,,37.669,-84.6514,"(37.669, -84.6514)",1398972,,117326,
CO,Colorado,07/01/2019,Y,U,Y,24993,,111,,25104,,20960,,370,,21330,,578746,,1291058,,36.17,-119.7462,"(36.17, -119.7462)",1208899,,82159,
MT,Montana,07/01/2019,Y,U,Y,4412,,N/A,,4412,,4233,,385,,4618,,124442,,270280,,14.8058,145.5505,"(14.8058, 145.5505)",241331,,28949,
KY,Kentucky,07/01/2019,Y,U,Y,9663,,,,9663,,17727,,1656,,19383,,552685,,1307459,,38.5111,-96.8005,"(38.5111, -96.8005)",1217518,,89941,
IL,Illinois,07/01/2019,Y,U,Y,71132,,N/A,,71132,,30935,,10275,,41210,,1351321,,2843003,,44.2394,-114.5103,"(44.2394, -114.5103)",2577699,,265304,
AR,Arkansas,07/01/2019,Y,U,Y,21294,,N/A,,21294,,9909,,330,,10239,,373504,,798044,,34.9513,-92.3809,"(34.9513, -92.3809)",765363,,32681,
FL,Florida,07/01/2019,N,U,Y,294310,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,294310,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,178349,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21513,,199862,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2449430,,3657394,,39.3498,-75.5148,"(39.3498, -75.5148)",3420248,,237146,
MA,Massachusetts,07/01/2019,Y,U,Y,18118,,2538,,20656,,16281,,1022,,17303,,670701,,1572581,,31.1801,-91.8749,"(31.1801, -91.8749)",1388451,,184130,
MO,Missouri,07/01/2019,N,U,Y,21181,Includes  Renewals and/or Redeterminations,N/A,,21181,Includes  Renewals and/or Redeterminations,9567,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",290,Includes Renewals and/or Redeterminations,9857,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",539835,,860768,,45.7326,-93.9196,"(45.7326, -93.9196)",826867,,33901,
AL,Alabama,07/01/2019,N,U,Y,13994,,N/A,,13994,,15219,,1966,,17185,,658658,,922278,,32.799,-86.8073,"(32.799, -86.8073)",748913,,173365,
SC,South Carolina,07/01/2019,N,U,Y,24019,,N/A,,24019,,7614,Does not Include All Medicaid Determinations made at Applications,152,Does not Include All CHIP Determinations made at Applications,7766,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,663537,,1058406,,40.5773,-77.264,"(40.5773, -77.264)",966938,,91468,
OK,Oklahoma,07/01/2019,N,U,Y,44716,Includes Renewals and/or Redeterminations,N/A,,44716,Includes Renewals and/or Redeterminations,42791,Includes Renewals and/or Redeterminations,7418,,50209,Includes Renewals and/or Redeterminations,515185,,735152,,42.1497,-74.9384,"(42.1497, -74.9384)",612128,,123024,
WY,Wyoming,07/01/2019,N,U,Y,1436,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1436,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,744,,43,,787,,37088,,55904,,44.0407,-72.7093,"(44.0407, -72.7093)",51597,,4307,
DC,District of Columbia,07/01/2019,Y,U,Y,2496,Includes SBM data,2332,,4828,Includes Renewals and/or Redeterminations,1564,Includes Renewals and/or Redeterminations; Includes CHIP,,,1564,,,,256139,,41.5834,-72.7622,"(41.5834, -72.7622)",238996,,17143,
OR,Oregon,07/01/2019,Y,U,Y,12728,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12728,Does Not Include All Non-MAGI Applications,20432,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1831,,22263,Does Not Include All Non-MAGI Determinations Made At Application,415755,,986744,,40.3736,-82.7755,"(40.3736, -82.7755)",858225,,128519,
NV,Nevada,07/01/2019,Y,U,Y,21510,Includes Renewals/Or redeterminations,N/A,,21510,Includes Renewals/Or redeterminations,13526,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",71,,13597,,298790,,632838,,40.314,-74.5089,"(40.314, -74.5089)",593317,,39521,
NE,Nebraska,07/01/2019,N,U,Y,6505,,N/A,,6505,,6818,,921,,7739,,163737,,246175,,35.6411,-79.8431,"(35.6411, -79.8431)",212320,,33855,
TN,Tennessee,07/01/2019,N,U,Y,16014,,N/A,,16014,,9696,,1120,,10816,,821959,,1440224,,41.6772,-71.5101,"(41.6772, -71.5101)",1352019,,88205,
ME,Maine,07/01/2019,Y,U,Y,7035,,N/A,,7035,,12969,,612,,13581,,105654,,226429,,39.0724,-76.7902,"(39.0724, -76.7902)",215148,,11281,
CA,California,07/01/2019,Y,U,Y,176698,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,176698,,167271,Does Not Include All Medicaid Determinations Made At Application,11738,Does Not Include All CHIP Determinations Made At Application,179009,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4896086,,11743500,,33.7712,-111.3877,"(33.7712, -111.3877)",10439839,,1303661,
DE,Delaware,07/01/2019,Y,U,Y,2928,,N/A,,2928,,5220,,719,,5939,,105616,,231571,,38.8964,-77.0262,"(38.8964, -77.0262)",220253,,11318,
IA,Iowa,07/01/2019,Y,U,Y,15428,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15428,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1170,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1170,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339875,,678370,,21.1098,-157.5311,"(21.1098, -157.5311)",601829,,76541,
NJ,New Jersey,07/01/2019,Y,U,Y,37719,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,37719,Does Not Include All Non-MAGI Applications,17909,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6080,,23989,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,821842,,1721103,,41.1289,-98.2883,"(41.1289, -98.2883)",1497803,,223300,
MI,Michigan,07/01/2019,Y,U,Y,60367,,N/A,,60367,,56156,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1858,,58014,,937799,Does Not Include All Full-Benefit Child Medicaid enrollees,2305227,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2242127,Does Not Include All Full-Benefit Medicaid enrollees,63100,
NY,New York,07/01/2019,Y,U,Y,,,748567,,748567,,111365,,5802,,117167,,2423510,,6097811,,34.8375,-106.2371,"(34.8375, -106.2371)",5508804,,589007,
VA,Virginia,07/01/2019,Y,U,Y,30346,Includes Renewals and/or Redeterminations,N/A,,30346,Includes Renewals and/or Redeterminations,21473,Includes Renewals and/or Redeterminations,674,Includes Renewals and/or Redeterminations,22147,Includes Renewals and/or Redeterminations,734000,,1336892,,35.7449,-86.7489,"(35.7449, -86.7489)",1191721,,145171,
NM,New Mexico,07/01/2019,Y,U,Y,13423,,N/A,,13423,,19306,,1708,,21014,,328470,Includes Limited-Benefit Enrollees,730037,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",693272,Includes Limited-Benefit Enrollees,36765,
IN,Indiana,07/01/2019,Y,U,Y,86455,,N/A,,86455,,35170,,2761,,37931,,799406,,1461778,,40.3363,-89.0022,"(40.3363, -89.0022)",1350305,,111473,
OH,Ohio,07/01/2019,Y,U,Y,74745,Includes Renewals and/or Redeterminations,N/A,,74745,Includes Renewals and/or Redeterminations,58921,Includes CHIP; Includes Renewals and/or Redeterminations,3124,,62045,Includes Renewals and/or Redeterminations,1174311,,2642614,,38.4199,-117.1219,"(38.4199, -117.1219)",2445095,,197519,
MD,Maryland,07/01/2019,Y,U,Y,6993,,92913,Includes Renewals and/or Redeterminations,99906,Includes Renewals and/or Redeterminations,38675,Includes Renewals and/or Redeterminations,3957,Includes Renewals and/or Redeterminations,42632,Includes Renewals and/or Redeterminations,622113,,1326315,,42.2373,-71.5314,"(42.2373, -71.5314)",1175791,,150524,
TX,Texas,07/01/2019,N,U,Y,148898,,N/A,,148898,,103754,,15297,,119051,,3304170,,4202466,,33.8191,-80.9066,"(33.8191, -80.9066)",3631639,,570827,
WV,West Virginia,07/01/2019,Y,U,Y,19921,,N/A,,19921,,12347,,632,,12979,,216424,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),516288,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",482755,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33533,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
SD,South Dakota,07/01/2019,N,U,Y,2847,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2847,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1606,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1606,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78414,,110329,,18.2766,-66.335,"(18.2766, -66.335)",94776,,15553,
CT,Connecticut,07/01/2019,Y,U,Y,5634,,12194,,17828,,15779,,427,,16206,,,,857415,,39.0646,-105.3272,"(39.0646, -105.3272)",837367,,20048,
RI,Rhode Island,07/01/2019,Y,U,Y,1913,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1913,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3012,,435,,3447,,120129,,301142,,44.5672,-122.1269,"(44.5672, -122.1269)",268803,,32339,
VT,Vermont,07/01/2019,Y,U,Y,3141,,1360,,4501,Includes Renewals and/or Redeterminations,5039,Includes Renewals and/or Redeterminations,129,,5168,,62036,,154546,,31.106,-97.6475,"(31.106, -97.6475)",150160,,4386,
