State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Illinois,2905239,700300,662105,38195,2018,8,2017,2,
West Virginia,557146,177352,177352,0,2018,8,2017,3,
New York,6092512,1961526,282749,1678777,2018,8,2017,2,
Pennsylvania,2845658,791979,748891,43088,2018,8,2017,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Kansas,381354,,,,2018,8,2017,3,
Massachusetts,1813220,378023,0,378023,2018,8,2017,1,
Ohio,3069539,716751,653890,62861,2018,8,2017,1,
California,11934494,3798240,3798240,0,2018,8,2017,1,
North Carolina,2091145,,,,2018,8,2017,2,
Puerto Rico,1245787,379369,,379369,2018,8,2017,3,
Alaska,180254,33492,33381,111,2018,8,2017,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Montana,219430,66948,66948,0,2018,8,2017,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Vermont,186472,60234,0,60234,2018,8,2017,2,
Virgin Islands,59508,39840,,39840,2018,8,2017,2,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Maryland,1193578,295352,295352,0,2018,8,2017,1,
Connecticut,900673,229608,206864,22744,2018,8,2017,3,
Wisconsin,1193933,,,,2018,8,2017,3,
Massachusetts,1824673,387666,0,387666,2018,8,2017,2,
Pennsylvania,2853193,800902,758244,42658,2018,8,2017,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Arizona,1948232,432082,111960,320122,2018,8,2017,2,
Alabama,1019760,,,,2018,8,2017,3,
New Jersey,1717039,578949,578949,0,2018,8,2017,2,
Virgin Islands,23294,4010,,4010,2018,8,2017,3,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Arkansas,935981,320669,312833,7836,2018,8,2017,3,
Utah,307856,,,,2018,8,2017,2,
Virginia,1011555,,,,2018,8,2017,1,
Virginia,1016793,,,,2018,8,2017,3,
Texas,4357147,,,,2018,8,2017,1,
Guam,35621,3567,,3567,2018,8,2017,3,
Missouri,988334,,,,2018,8,2017,3,
Oklahoma,681377,,,,2018,8,2017,2,
South Dakota,107827,,,,2018,8,2017,3,
American Samoa,41214,,,,2018,8,2017,2,
Tennessee,1644449,,,,2018,8,2017,3,
Oregon,988654,467690,388007,79683,2018,8,2017,2,
South Dakota,107902,,,,2018,8,2017,2,
Arizona,1940684,427753,111198,316555,2018,8,2017,3,
Connecticut,904274,230296,212987,17309,2018,8,2017,1,
Kansas,385447,,,,2018,8,2017,1,
Georgia,1834932,,,,2018,8,2017,1,
Oregon,987156,467369,388213,79156,2018,8,2017,3,
Illinois,2898090,697824,658962,38862,2018,8,2017,3,
District of Columbia,253044,107668,67795,39873,2018,8,2017,2,
Michigan,2385285,671352,621809,49543,2018,8,2017,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Nevada,604153,210670,210670,0,2018,8,2017,2,
