State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alaska,185079,36503,36375,128,2018,8,2017,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Colorado,1365940,446562,444246,2316,2018,8,2017,6,
Missouri,988508,,,,2018,8,2017,4,
Alaska,185347,36743,36636,107,2018,8,2017,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
North Carolina,2090132,,,,2018,8,2017,5,
New York,6122947,3496309,512903,2983406,2018,8,2017,4,
Maryland,1213844,305431,305431,0,2018,8,2017,6,
Mississippi,712340,,,,2018,8,2017,4,
American Samoa,41214,,,,2018,8,2017,4,
Connecticut,892772,228807,201712,27095,2018,8,2017,5,
South Carolina,1253312,,,,2018,8,2017,4,
Oregon,1012482,484430,402492,81938,2018,8,2017,5,
Alabama,1016805,,,,2018,8,2017,4,
Maine,259215,,,,2018,8,2017,5,
Wisconsin,1185637,,,,2018,8,2017,6,
Nebraska,229476,,,,2018,8,2017,6,
North Dakota *,92595,20515,19468,1047,2018,8,2017,6,Awaiting state reporting/enrollment reasonableness review in progress
Puerto Rico,1253375,372615,,372615,2018,8,2017,6,
Kentucky,1338120,474562,474562,0,2018,8,2017,5,
Hawaii,331806,118455,22497,95958,2018,8,2017,4,
Kansas,377152,,,,2018,8,2017,5,
Nevada,608562,211053,211053,0,2018,8,2017,5,
Arizona,1936322,428063,111866,316197,2018,8,2017,5,
Rhode Island,313477,71998,71998,0,2018,8,2017,6,
New Jersey,1712197,578014,578014,0,2018,8,2017,4,
Nebraska,250848,,,,2018,8,2017,5,
District of Columbia,257352,108325,67577,40748,2018,8,2017,5,
Georgia,1835685,,,,2018,8,2017,4,
South Dakota,106612,,,,2018,8,2017,6,
Kentucky,1341670,476020,476020,0,2018,8,2017,6,
Michigan,2108413,683111,630595,52516,2018,8,2017,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Arizona,1939437,429692,112045,317647,2018,8,2017,4,
Delaware,206768,61191,10789,50402,2018,8,2017,4,
Colorado,1369103,446189,443824,2365,2018,8,2017,5,
New Hampshire,191125,55161,55069,92,2018,8,2017,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
New Jersey,1701389,571733,571733,0,2018,8,2017,6,
Maryland,1216630,305354,305354,0,2018,8,2017,5,
Louisiana,1624541,438048,438048,0,2018,8,2017,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Wisconsin,1190224,,,,2018,8,2017,5,
Ohio,3082563,709617,653225,56392,2018,8,2017,4,
Indiana,1355541,443282,311992,131290,2018,8,2017,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Wyoming,61529,,,,2018,8,2017,6,
Oklahoma,675173,,,,2018,8,2017,5,
Iowa,596705,152258,140652,11606,2018,8,2017,5,
Virginia,1024816,,,,2018,8,2017,4,
American Samoa,41214,,,,2018,8,2017,6,
Washington,1841923,613437,599345,14092,2018,8,2017,5,
N. Mariana Islands,15472,,,,2018,8,2017,4,
Ohio,3080775,692131,652666,39465,2018,8,2017,6,
Louisiana,1627613,435946,435946,0,2018,8,2017,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Montana,238672,81593,81593,0,2018,8,2017,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
New Mexico,896397,263767,263767,0,2018,8,2017,6,
Texas,4315777,,,,2018,8,2017,4,
Virgin Islands,23580,4043,,4043,2018,8,2017,5,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Kentucky,1334816,472782,472782,0,2018,8,2017,4,
Minnesota,1170762,202227,201461,766,2018,8,2017,4,
New Mexico,905184,266864,266864,0,2018,8,2017,5,
Wyoming,62324,,,,2018,8,2017,4,
Iowa,595750,151354,139891,11463,2018,8,2017,4,
Mississippi,712507,,,,2018,8,2017,5,
Guam,35751,3729,,3729,2018,8,2017,6,
Michigan,2108819,684516,632632,51884,2018,8,2017,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Virginia,1025032,,,,2018,8,2017,6,
Alabama,1016227,,,,2018,8,2017,5,
Maryland,1210887,302777,302777,0,2018,8,2017,4,
Puerto Rico,1269505,375916,,375916,2018,8,2017,4,
Idaho,319976,,,,2018,8,2017,6,
New York,6123586,3506563,517082,2889481,2018,8,2017,5,
N. Mariana Islands,15472,,,,2018,8,2017,6,
Arkansas,940798,321675,314080,7595,2018,8,2017,4,
Wyoming,62613,,,,2018,8,2017,5,
North Carolina,2087218,,,,2018,8,2017,6,
New Mexico,908484,268515,268515,0,2018,8,2017,4,
Tennessee,1604666,,,,2018,8,2017,5,
Arkansas,935173,307739,300381,7358,2018,8,2017,6,
West Virginia,554467,175994,175994,0,2018,8,2017,4,
Arizona,1935994,429571,112208,317363,2018,8,2017,6,
Hawaii,331277,118079,22105,95974,2018,8,2017,6,
N. Mariana Islands,15472,,,,2018,8,2017,5,
Ohio,3075729,706671,653122,53549,2018,8,2017,5,
Maine,259772,,,,2018,8,2017,4,
Massachusetts,1811660,383679,0,383679,2018,8,2017,4,
Mississippi,711923,,,,2018,8,2017,6,
Guam,36061,3697,,3697,2018,8,2017,5,
Minnesota,1141971,198705,197879,826,2018,8,2017,6,
Illinois,2876233,685870,645067,40803,2018,8,2017,5,
Vermont,185011,60599,0,60599,2018,8,2017,4,
South Dakota,106660,,,,2018,8,2017,5,
Alaska,184242,35931,35807,124,2018,8,2017,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Texas,4305931,,,,2018,8,2017,6,
Idaho,319681,,,,2018,8,2017,4,
Pennsylvania,2852210,796335,754249,42086,2018,8,2017,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Georgia,1853348,,,,2018,8,2017,6,
California,11568990,3769184,3769184,0,2018,8,2017,6,
American Samoa,41214,,,,2018,8,2017,5,
Oklahoma,669148,,,,2018,8,2017,6,
Indiana,1346323,443723,315380,128343,2018,8,2017,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Vermont,184426,60529,0,60529,2018,8,2017,5,
Florida,4052383,,,,2018,8,2017,5,
North Dakota *,91919,20351,19350,1001,2018,8,2017,4,Awaiting state reporting/enrollment reasonableness review in progress
Oklahoma,682757,,,,2018,8,2017,4,
Illinois,2890539,691883,651309,40574,2018,8,2017,4,
Massachusetts,1811368,383587,0,383587,2018,8,2017,6,
Minnesota,1160499,201685,200811,874,2018,8,2017,5,
Utah,304989,,,,2018,8,2017,4,
Georgia,1840262,,,,2018,8,2017,5,
California,11791879,3809782,3809782,0,2018,8,2017,4,
Rhode Island,309786,70699,70699,0,2018,8,2017,5,
Washington,1844804,615318,601289,14029,2018,8,2017,4,
Connecticut,889083,228247,199598,28649,2018,8,2017,6,
Washington,1834491,609257,595392,13865,2018,8,2017,6,
California,11703887,3799896,3799896,0,2018,8,2017,5,
Kansas,378916,,,,2018,8,2017,6,
Virginia,1023532,,,,2018,8,2017,5,
Montana,239770,80228,80228,0,2018,8,2017,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Pennsylvania,2848611,790703,749178,41525,2018,8,2017,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nebraska,242568,,,,2018,8,2017,4,
Iowa,592855,150790,139244,11546,2018,8,2017,6,
Oregon,1009254,487191,406930,80261,2018,8,2017,6,
Pennsylvania,2847770,797020,754654,42366,2018,8,2017,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1555500,,,,2018,8,2017,6,
Wisconsin,1188340,,,,2018,8,2017,4,
