State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
HI,Hawaii,05/01/2020,Y,U,Y,5826,,N/A,,5826,,4163,,148,,4311,,144285,,346922,,32.9866,-83.6487,"(32.9866, -83.6487)",321797,,25125,
AR,Arkansas,05/01/2020,Y,U,Y,14754,,N/A,,14754,,10248,,573,,10821,,374951,,820544,,34.9513,-92.3809,"(34.9513, -92.3809)",786253,,34291,
IA,Iowa,05/01/2020,Y,U,Y,8280,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,8280,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,9039,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1257,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,10296,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,343554,,694372,,21.1098,-157.5311,"(21.1098, -157.5311)",613151,,81221,
OH,Ohio,05/01/2020,Y,U,Y,56260,Includes Renewals and/or Redeterminations,N/A,,56260,Includes Renewals and/or Redeterminations,51309,Includes CHIP; Includes Renewals and/or Redeterminations,2741,,54050,Includes Renewals and/or Redeterminations,1197847,,2749126,,38.4199,-117.1219,"(38.4199, -117.1219)",2551301,,197825,
KS,Kansas,05/01/2020,N,U,Y,,,N/A,,,,,,,,,,275451,,395563,,39.8647,-86.2604,"(39.8647, -86.2604)",332420,,63143,
MN,Minnesota,05/01/2020,Y,U,Y,3592,,11842,,15434,,9521,,46,,9567,,543470,,1081190,,43.3504,-84.5603,"(43.3504, -84.5603)",1079490,,1700,
UT,Utah,05/01/2020,N,U,Y,15277,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,15277,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",47397,Includes CHIP,,,47397,,193073,,334295,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",293338,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,40957,
AK,Alaska,05/01/2020,Y,U,Y,2497,Includes Renewals and/or Redeterminations,N/A,,2497,Includes Renewals and/or Redeterminations,3407,Includes Renewals and/or Redeterminations; Includes CHIP,213,,3620,Includes Renewals and/or Redeterminations,98912,,230043,,61.385,-152.2683,"(61.385, -152.2683)",214692,,15351,
ID,Idaho,05/01/2020,Y,U,Y,8154,,,,8154,,8871,,346,,9217,,180965,,337725,,42.0046,-93.214,"(42.0046, -93.214)",311105,,26620,
IL,Illinois,05/01/2020,Y,U,Y,70855,,N/A,,70855,,,,,,,,1372308,,2973372,,44.2394,-114.5103,"(44.2394, -114.5103)",2688057,,285315,
ND,North Dakota,05/01/2020,Y,U,Y,2006,,N/A,,2006,,1849,,71,,1920,,45446,,95867,,46.9048,-110.3261,"(46.9048, -110.3261)",93488,,2379,
RI,Rhode Island,05/01/2020,Y,U,Y,1110,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1110,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1653,,114,,1767,,117371,,302288,,44.5672,-122.1269,"(44.5672, -122.1269)",272941,,29347,
WA,Washington,05/01/2020,Y,U,Y,82524,,56197,,138721,,87498,,996,,88494,,829211,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1763787,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1694070,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),69717,
NH,New Hampshire,05/01/2020,Y,U,Y,3477,,N/A,,3477,,2718,,225,,2943,,92275,,192026,,47.5362,-99.793,"(47.5362, -99.793)",177782,,14244,
NV,Nevada,05/01/2020,Y,U,Y,16833,Includes Renewals and/or Redeterminations,N/A,,16833,Includes Renewals and/or Redeterminations,10404,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",45,,10449,,307938,,669844,,40.314,-74.5089,"(40.314, -74.5089)",629641,,40203,
SC,South Carolina,05/01/2020,N,U,Y,15203,,N/A,,15203,,4833,Does not Include All Medicaid Determinations made at Applications,228,Does not Include All CHIP Determinations made at Applications,5061,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,655953,,1054828,,40.5773,-77.264,"(40.5773, -77.264)",958605,,96223,
LA,Louisiana,05/01/2020,Y,U,Y,20823,,N/A,,20823,,22632,,1444,,24076,,736114,,1574548,,37.669,-84.6514,"(37.669, -84.6514)",1444364,,130184,
NE,Nebraska,05/01/2020,N,U,Y,4797,,N/A,,4797,,3436,,542,,3978,,167316,,252935,,35.6411,-79.8431,"(35.6411, -79.8431)",219064,,33871,
SD,South Dakota,05/01/2020,N,U,Y,1706,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1706,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,837,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",837,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79732,,112232,,18.2766,-66.335,"(18.2766, -66.335)",96723,,15509,
CO,Colorado,05/01/2020,Y,U,Y,18908,,133,,19041,,15814,,197,,16011,,576648,,1321905,,36.17,-119.7462,"(36.17, -119.7462)",1242795,,79110,
PA,Pennsylvania,05/01/2020,Y,U,Y,66733,Includes Renewals and/or Redeterminations,N/A,,66733,Includes Renewals and/or Redeterminations,80881,Includes Renewals and/or Redeterminations,3986,,84867,Includes Renewals and/or Redeterminations,1423093,,3048587,,35.5376,-96.9247,"(35.5376, -96.9247)",2858860,,189727,
