State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
New Mexico,"837,778","255,147","255,147",0,2020,2,2019,1,"New Mexico
(34.421369, -106.108388)",
Mississippi,"674,239",,,,2020,2,2019,3,"Mississippi
(32.713378, -89.65344)",
Hawaii,"312,149","111,530","20,366","91,164",2020,2,2019,3,"Hawaii
(21.361013, -157.854309)",
North Carolina,"2,172,915",,,,2020,2,2019,2,"North Carolina
(35.52603, -79.130883)",
Virginia,"1,401,917","220,580","220,580",0,2020,2,2019,2,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Dist. Of Col.,"260,388","108,097","66,620","41,477",2020,2,2019,1,,
Georgia,"1,957,134",,,,2020,2,2019,3,"Georgia
(32.638481, -83.426574)",
California,"12,793,749","3,787,369","3,787,362",7,2020,2,2019,1,"California
(37.211164, -119.662127)",
Louisiana,"1,679,275","508,604","508,604",0,2020,2,2019,1,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Alaska,"206,812","50,871","50,867",4,2020,2,2019,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Colorado,"1,249,008","386,765","379,757","7,008",2020,2,2019,3,"Colorado
(38.998552, -105.547832)",
West Virginia,"524,465","161,113","161,113",0,2020,2,2019,2,"West Virginia
(38.642579, -80.613729)",
New Jersey,"1,651,766","551,242","551,242",0,2020,2,2019,1,"New Jersey
(40.110253, -74.655514)",
Nevada,"587,891","210,227","210,227",0,2020,2,2019,2,"Nevada
(39.283294, -114.916992)",
Montana,"255,239","98,136","98,136",0,2020,2,2019,3,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Virgin Islands,"28,363","13,100",,"13,100",2020,2,2019,3,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,"219,432","62,843","9,784","53,059",2020,2,2019,2,"Delaware
(38.994926, -75.452394)",
Florida,"3,834,674",,,,2020,2,2019,1,"Florida
(28.260731, -82.420978)",
Indiana,"1,320,211","305,297","305,297",0,2020,2,2019,1,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Alaska,"207,330","50,515","50,512",3,2020,2,2019,1,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Utah,"290,397",,,,2020,2,2019,1,"Utah
(39.323779, -111.678222)",
Tennessee,"1,541,156",,,,2020,2,2019,2,"Tennessee
(35.842998, -86.343226)",
Iowa,"604,647","171,352","155,930","15,422",2020,2,2019,2,"Iowa
(42.074659, -93.500061)",
New Jersey,"1,631,808","541,972","541,972",0,2020,2,2019,3,"New Jersey
(40.110253, -74.655514)",
Kansas,"363,294",,,,2020,2,2019,3,"Kansas
(38.484729, -98.38018)",
Rhode Island,"304,249","66,656","66,656",0,2020,2,2019,2,"Rhode Island
(41.572574, -71.534637)",
North Dakota,"91,289","20,160","19,211",949,2020,2,2019,1,"North Dakota
(47.446305, -100.46931)",
Ohio,"2,838,197","559,692","559,418",274,2020,2,2019,3,"Ohio
(40.415534, -82.70936)",
Puerto Rico,"1,187,816","386,137",,"386,137",2020,2,2019,1,"Puerto Rico
(18.215692, -66.414655)",
Guam,"36,253","4,207",,"4,207",2020,2,2019,2,"Guam
(13.3532, 144.653198)",
Massachusetts,"1,418,667","320,525",0,"320,525",2020,2,2019,2,"Massachusetts
(42.151077, -71.481104)",
Missouri,"895,137",,,,2020,2,2019,1,"Missouri
(38.3675, -92.477244)",
South Dakota,"104,328",,,,2020,2,2019,3,"South Dakota
(44.43614, -100.230491)",
Virgin Islands,"27,917","12,846",,"12,846",2020,2,2019,2,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Washington,"1,752,554","563,224","548,937","14,287",2020,2,2019,1,"Washington
(47.411715, -120.592492)",
Maine,"261,086","12,210","12,210",0,2020,2,2019,3,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Idaho,"294,796",,,,2020,2,2019,3,"Idaho
(44.389073, -114.659366)",
Wyoming,"56,253",,,,2020,2,2019,1,"Wyoming
(42.999627, -107.55145)",
Oklahoma,"644,559",,,,2020,2,2019,2,"Oklahoma
(35.583449, -97.508297)",
Hawaii,"311,088","110,824","20,336","90,488",2020,2,2019,2,"Hawaii
(21.361013, -157.854309)",
Missouri,"890,169",,,,2020,2,2019,2,"Missouri
(38.3675, -92.477244)",
Ohio,"2,852,643","561,489","561,221",268,2020,2,2019,1,"Ohio
(40.415534, -82.70936)",
Massachusetts,"1,481,856","337,206",0,"337,206",2020,2,2019,1,"Massachusetts
(42.151077, -71.481104)",
Florida,"3,659,143",,,,2020,2,2019,3,"Florida
(28.260731, -82.420978)",
Wisconsin,"1,178,036",,,,2020,2,2019,2,"Wisconsin
(44.639954, -89.732969)",
Puerto Rico,"1,221,409","410,628",,"410,628",2020,2,2019,3,"Puerto Rico
(18.215692, -66.414655)",
New York,"6,135,558","1,902,691","301,773","1,600,918",2020,2,2019,2,"New York
(42.921241, -75.59655)",
Minnesota,"1,043,848","187,912","186,981",931,2020,2,2019,3,"Minnesota
(46.349153, -94.198308)",
Montana,"259,773","99,861","99,861",0,2020,2,2019,1,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Colorado,"1,258,689","389,813","382,675","7,138",2020,2,2019,1,"Colorado
(38.998552, -105.547832)",
Georgia,"1,961,608",,,,2020,2,2019,1,"Georgia
(32.638481, -83.426574)",
Tennessee,"1,545,499",,,,2020,2,2019,3,"Tennessee
(35.842998, -86.343226)",
West Virginia,"521,854","161,259","161,259",0,2020,2,2019,3,"West Virginia
(38.642579, -80.613729)",
Virginia,"1,432,250","237,165","237,165",0,2020,2,2019,3,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Arkansas,"841,490","254,640","253,702",938,2020,2,2019,1,"Arkansas
(34.899825, -92.439162)",
Maryland,"1,215,940","310,237","310,237",0,2020,2,2019,2,"Maryland
(38.946466, -76.687282)",
Arizona,"1,880,317","426,279","107,451","318,828",2020,2,2019,2,"Arizona
(34.293239, -111.664616)",
New Hampshire,"185,469","55,063","54,786",277,2020,2,2019,1,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Texas,"4,219,994",,,,2020,2,2019,1,"Texas
(31.447238, -99.317341)",
New Mexico,"831,563","254,692","254,692",0,2020,2,2019,3,"New Mexico
(34.421369, -106.108388)",
Kentucky,"1,294,481","450,936","450,936",0,2020,2,2019,3,"Kentucky
(37.526683, -85.290484)",
Nebraska,"245,052",,,,2020,2,2019,2,"Nebraska
(41.527099, -99.810595)",
Illinois,"2,668,561","683,826","576,312","107,514",2020,2,2019,1,"Illinois
(40.124144, -89.148632)",
Alabama,"1,030,869",,,,2020,2,2019,1,"Alabama
(32.756889, -86.844516)",
California,"12,618,740","3,743,642","3,741,168","2,474",2020,2,2019,3,"California
(37.211164, -119.662127)",
Connecticut,"953,795","266,839","242,907","23,932",2020,2,2019,2,"Connecticut
(41.575155, -72.738288)",
Kansas,"364,113",,,,2020,2,2019,2,"Kansas
(38.484729, -98.38018)",
North Carolina,"2,178,750",,,,2020,2,2019,1,"North Carolina
(35.52603, -79.130883)",
South Carolina,"1,268,616",,,,2020,2,2019,2,"South Carolina
(33.878572, -80.864614)",
South Carolina,"1,267,524",,,,2020,2,2019,1,"South Carolina
(33.878572, -80.864614)",
Rhode Island,"307,572","68,493","68,493",0,2020,2,2019,1,"Rhode Island
(41.572574, -71.534637)",
Amer. Samoa,"28,183",,,,2020,2,2019,3,,
Illinois,"2,619,375","670,127","562,511","107,616",2020,2,2019,3,"Illinois
(40.124144, -89.148632)",
Nebraska,"245,217",,,,2020,2,2019,3,"Nebraska
(41.527099, -99.810595)",
New Mexico,"836,101","255,681","255,681",0,2020,2,2019,2,"New Mexico
(34.421369, -106.108388)",
Kentucky,"1,294,292","450,634","450,634",0,2020,2,2019,1,"Kentucky
(37.526683, -85.290484)",
Guam,"36,415","4,196",,"4,196",2020,2,2019,1,"Guam
(13.3532, 144.653198)",
South Dakota,"104,494",,,,2020,2,2019,2,"South Dakota
(44.43614, -100.230491)",
Louisiana,"1,673,188","507,668","507,668",0,2020,2,2019,3,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,"641,671",,,,2020,2,2019,1,"Oklahoma
(35.583449, -97.508297)",
Pennsylvania,"2,859,228","773,138","733,961","39,177",2020,2,2019,3,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Georgia,"1,957,553",,,,2020,2,2019,2,"Georgia
(32.638481, -83.426574)",
Idaho,"294,793",,,,2020,2,2019,2,"Idaho
(44.389073, -114.659366)",
Dist. Of Col.,"261,139","107,983","66,488","41,495",2020,2,2019,3,,
Totals,"74,877,560","15,439,030","12,169,607","3,269,423",2020,2,2019,3,,
Oregon,"963,676","464,703","384,309","80,394",2020,2,2019,2,"Oregon
(43.940449, -120.605279)",
Michigan,"2,421,046","689,970","636,973","52,997",2020,2,2019,1,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Wyoming,"54,601",,,,2020,2,2019,2,"Wyoming
(42.999627, -107.55145)",
Texas,"4,194,517",,,,2020,2,2019,3,"Texas
(31.447238, -99.317341)",
N. Mariana Islands,"16,305",,,,2020,2,2019,1,,
Connecticut,"947,355","263,967","240,397","23,570",2020,2,2019,1,"Connecticut
(41.575155, -72.738288)",
Vermont,"170,560","56,608",0,"56,608",2020,2,2019,2,"Vermont
(44.075252, -72.662695)",
Mississippi,"674,568",,,,2020,2,2019,2,"Mississippi
(32.713378, -89.65344)",
Totals,"75,376,060","15,464,581","12,226,412","3,250,847",2020,2,2019,1,,
North Dakota,"87,694","19,140","18,275",865,2020,2,2019,3,"North Dakota
(47.446305, -100.46931)",
Washington,"1,737,288","555,549","541,176","14,373",2020,2,2019,3,"Washington
(47.411715, -120.592492)",
Michigan,"2,435,356","698,135","645,972","52,163",2020,2,2019,3,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Virginia,"1,356,905","198,653","198,653",0,2020,2,2019,1,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Arkansas,"832,662","251,077","250,141",936,2020,2,2019,2,"Arkansas
(34.899825, -92.439162)",
