State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CO,Colorado,09/01/2019,Y,U,Y,19024,,2,,19026,,16287,,266,,16553,,576404,,1293761,,36.17,-119.7462,"(36.17, -119.7462)",1213044,,80717,
MI,Michigan,09/01/2019,Y,U,Y,56803,,N/A,,56803,,50990,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1832,,52822,,938977,Does Not Include All Full-Benefit Child Medicaid enrollees,2305079,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2239555,Does Not Include All Full-Benefit Medicaid enrollees,65524,
WY,Wyoming,09/01/2019,N,U,Y,1405,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1405,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,876,,23,,899,,37029,,55874,,44.0407,-72.7093,"(44.0407, -72.7093)",51570,,4304,
CA,California,09/01/2019,Y,U,Y,155867,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,155867,,156911,Does Not Include All Medicaid Determinations Made At Application,12202,Does Not Include All CHIP Determinations Made At Application,169113,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4893256,,11728031,,33.7712,-111.3877,"(33.7712, -111.3877)",10419822,,1308209,
MA,Massachusetts,09/01/2019,Y,U,Y,16444,,2363,,18807,,13787,,1033,,14820,,679500,,1583685,,31.1801,-91.8749,"(31.1801, -91.8749)",1396668,,187017,
IA,Iowa,09/01/2019,Y,U,Y,14284,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,14284,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1061,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1061,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,338596,,678361,,21.1098,-157.5311,"(21.1098, -157.5311)",602355,,76006,
AR,Arkansas,09/01/2019,Y,U,Y,19790,,N/A,,19790,,12078,,787,,12865,,373675,,800799,,34.9513,-92.3809,"(34.9513, -92.3809)",768672,,32127,
DE,Delaware,09/01/2019,Y,U,Y,2701,,N/A,,2701,,4865,,807,,5672,,105737,,231196,,38.8964,-77.0262,"(38.8964, -77.0262)",219754,,11442,
HI,Hawaii,09/01/2019,Y,U,Y,4886,,N/A,,4886,,5630,,386,,6016,,139707,,327674,,32.9866,-83.6487,"(32.9866, -83.6487)",302368,,25306,
TN,Tennessee,09/01/2019,N,U,Y,18018,,N/A,,18018,,11201,,1090,,12291,,814853,,1430815,,41.6772,-71.5101,"(41.6772, -71.5101)",1332902,,97913,
OK,Oklahoma,09/01/2019,N,U,Y,51419,Includes Renewals and/or Redeterminations,N/A,,51419,Includes Renewals and/or Redeterminations,87682,Includes Renewals and/or Redeterminations,10666,,98348,Includes Renewals and/or Redeterminations,511370,,727681,,42.1497,-74.9384,"(42.1497, -74.9384)",609104,,118577,
OH,Ohio,09/01/2019,Y,U,Y,68468,Includes Renewals and/or Redeterminations,N/A,,68468,Includes Renewals and/or Redeterminations,55529,Includes CHIP; Includes Renewals and/or Redeterminations,3108,,58637,Includes Renewals and/or Redeterminations,1170087,,2633478,,38.4199,-117.1219,"(38.4199, -117.1219)",2436520,,196958,
VT,Vermont,09/01/2019,Y,U,Y,2827,,1480,,4307,Includes Renewals and/or Redeterminations,5775,Includes Renewals and/or Redeterminations,150,,5925,,61592,,152941,,31.106,-97.6475,"(31.106, -97.6475)",148550,,4391,
VA,Virginia,09/01/2019,Y,U,Y,31785,Includes Renewals and/or Redeterminations,N/A,,31785,Includes Renewals and/or Redeterminations,25828,Includes Renewals and/or Redeterminations,994,Includes Renewals and/or Redeterminations,26822,Includes Renewals and/or Redeterminations,737849,,1356188,,35.7449,-86.7489,"(35.7449, -86.7489)",1208888,,147300,
MN,Minnesota,09/01/2019,Y,U,Y,5584,,18044,,23628,,18361,,54,,18415,,529880,,1044529,,43.3504,-84.5603,"(43.3504, -84.5603)",1043233,,1296,
UT,Utah,09/01/2019,N,U,Y,13925,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,13925,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",38219,Includes CHIP,,,38219,,187817,,309138,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",267540,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41598,
RI,Rhode Island,09/01/2019,Y,U,Y,1526,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1526,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2213,,256,,2469,,118486,,298266,,44.5672,-122.1269,"(44.5672, -122.1269)",265705,,32561,
KS,Kansas,09/01/2019,N,U,Y,,,N/A,,,,,,,,,,258670,,373564,,39.8647,-86.2604,"(39.8647, -86.2604)",317470,,56094,
NH,New Hampshire,09/01/2019,Y,U,Y,8134,,N/A,,8134,,5177,,513,,5690,,89217,,178759,,47.5362,-99.793,"(47.5362, -99.793)",163838,,14921,
IN,Indiana,09/01/2019,Y,U,Y,93874,,N/A,,93874,,35011,,3209,,38220,,804716,,1472433,,40.3363,-89.0022,"(40.3363, -89.0022)",1359758,,112675,
OR,Oregon,09/01/2019,Y,U,Y,12471,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12471,Does Not Include All Non-MAGI Applications,20461,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2264,,22725,Does Not Include All Non-MAGI Determinations Made At Application,416640,,989593,,40.3736,-82.7755,"(40.3736, -82.7755)",860536,,129057,
NV,Nevada,09/01/2019,Y,U,Y,18745,Includes Renewals/Or redeterminations,N/A,,18745,Includes Renewals/Or redeterminations,11804,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",57,,11861,,298479,,631033,,40.314,-74.5089,"(40.314, -74.5089)",591450,,39583,
SC,South Carolina,09/01/2019,N,U,Y,29133,,N/A,,29133,,6928,Does not Include All Medicaid Determinations made at Applications,154,Does not Include All CHIP Determinations made at Applications,7082,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,663347,,1057940,,40.5773,-77.264,"(40.5773, -77.264)",964805,,93135,
CT,Connecticut,09/01/2019,Y,U,Y,5555,,11189,,16744,,15007,,398,,15405,,334944,,855043,,39.0646,-105.3272,"(39.0646, -105.3272)",835049,,19994,
FL,Florida,09/01/2019,N,U,Y,256111,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,256111,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,152304,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,18044,,170348,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2440529,,3648067,,39.3498,-75.5148,"(39.3498, -75.5148)",3408446,,239621,
MD,Maryland,09/01/2019,Y,U,Y,6597,,90504,Includes Renewals and/or Redeterminations,97101,Includes Renewals and/or Redeterminations,36430,Includes Renewals and/or Redeterminations,3516,Includes Renewals and/or Redeterminations,39946,Includes Renewals and/or Redeterminations,622320,,1327889,,42.2373,-71.5314,"(42.2373, -71.5314)",1180283,,147606,
NJ,New Jersey,09/01/2019,Y,U,Y,37933,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,37933,Does Not Include All Non-MAGI Applications,14649,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,5935,,20584,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,817082,,1711647,,41.1289,-98.2883,"(41.1289, -98.2883)",1485954,,225693,
KY,Kentucky,09/01/2019,Y,U,Y,8877,,,,8877,,,,875,,875,,550419,,1303867,,38.5111,-96.8005,"(38.5111, -96.8005)",1212822,,91045,
MT,Montana,09/01/2019,Y,U,Y,4255,,N/A,,4255,,4486,,411,,4897,,122894,,266931,,14.8058,145.5505,"(14.8058, 145.5505)",238518,,28413,
PA,Pennsylvania,09/01/2019,Y,U,Y,91808,Includes Renewals and/or Redeterminations,N/A,,91808,Includes Renewals and/or Redeterminations,83478,Includes Renewals and/or Redeterminations,9177,,92655,Includes Renewals and/or Redeterminations,1389113,,2939985,,35.5376,-96.9247,"(35.5376, -96.9247)",2756913,,183072,
ME,Maine,09/01/2019,Y,U,Y,6453,,N/A,,6453,,11074,,781,,11855,,104406,,225093,,39.0724,-76.7902,"(39.0724, -76.7902)",213639,,11454,
WI,Wisconsin,09/01/2019,N,U,Y,24038,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24038,Does Not Include All Applications for Limited-Benefit Programs,17527,"Count is of Households, Not Individuals",1151,,18678,,507885,,1046849,,37.768,-78.2057,"(37.768, -78.2057)",978071,,68778,
TX,Texas,09/01/2019,N,U,Y,136899,,N/A,,136899,,88863,,13015,,101878,,3318873,,4220878,,33.8191,-80.9066,"(33.8191, -80.9066)",3647614,,573264,
DC,District of Columbia,09/01/2019,Y,U,Y,4213,Includes SBM data,2077,,6290,Includes Renewals and/or Redeterminations,4448,Includes Renewals and/or Redeterminations; Includes CHIP,,,4448,,,,252070,,41.5834,-72.7622,"(41.5834, -72.7622)",234920,,17150,
NY,New York,09/01/2019,Y,U,Y,,,917908,,917908,,117054,,8240,,125294,,2419459,,6084517,,34.8375,-106.2371,"(34.8375, -106.2371)",5487836,,596681,
AZ,Arizona,09/01/2019,Y,U,Y,109308,,N/A,,109308,,,,,,,,,,1725477,,14.2417,-170.7197,"(14.2417, -170.7197)",1624952,,100525,
ID,Idaho,09/01/2019,Y,U,Y,10671,,,,10671,,8491,,739,,9230,,185620,,262616,,42.0046,-93.214,"(42.0046, -93.214)",236614,,26002,
WV,West Virginia,09/01/2019,Y,U,Y,18431,,N/A,,18431,,11426,,629,,12055,,215780,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),514608,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",480518,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34090,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NE,Nebraska,09/01/2019,N,U,Y,5745,,N/A,,5745,,5564,,916,,6480,,164596,,247368,,35.6411,-79.8431,"(35.6411, -79.8431)",213074,,34294,
