State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MA,Massachusetts,02/01/2020,Y,U,Y,16397,,1589,,17986,,11950,,716,,12666,,656626,,1530761,,31.1801,-91.8749,"(31.1801, -91.8749)",1349649,,181112,
NM,New Mexico,02/01/2020,Y,U,Y,12893,,N/A,,12893,,14580,,1578,,16158,,328730,Includes Limited-Benefit Enrollees,745050,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",705501,Includes Limited-Benefit Enrollees,39549,
TX,Texas,02/01/2020,N,U,Y,122617,,N/A,,122617,,95325,,16374,,111699,,3301272,,4198897,,33.8191,-80.9066,"(33.8191, -80.9066)",3633206,,565691,
HI,Hawaii,02/01/2020,Y,U,Y,4277,,N/A,,4277,,4842,,372,,5214,,138826,,325667,,32.9866,-83.6487,"(32.9866, -83.6487)",299919,,25748,
NJ,New Jersey,02/01/2020,Y,U,Y,40445,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,40445,Does Not Include All Non-MAGI Applications,19526,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,9297,,28823,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,811342,,1701569,,41.1289,-98.2883,"(41.1289, -98.2883)",1470376,,231193,
WV,West Virginia,02/01/2020,Y,U,Y,18371,,N/A,,18371,,10577,,604,,11181,,213391,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),506857,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",472418,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34439,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MS,Mississippi,02/01/2020,N,U,Y,16906,,N/A,,16906,,10865,,653,,11518,,417689,,615262,,38.4623,-92.302,"(38.4623, -92.302)",537705,,77557,
ID,Idaho,02/01/2020,Y,U,Y,12045,,,,12045,,15040,,1392,,16432,,175309,,319534,,42.0046,-93.214,"(42.0046, -93.214)",291745,,27789,
TN,Tennessee,02/01/2020,N,U,Y,30555,,N/A,,30555,,14378,,1988,,16366,,819732,,1447540,,41.6772,-71.5101,"(41.6772, -71.5101)",1323760,,123780,
IA,Iowa,02/01/2020,Y,U,Y,13646,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13646,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,12782,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,2730,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,15512,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,337748,,677141,,21.1098,-157.5311,"(21.1098, -157.5311)",597839,,79302,
KS,Kansas,02/01/2020,N,U,Y,,,N/A,,,,,,,,,,263184,,378292,,39.8647,-86.2604,"(39.8647, -86.2604)",319127,,59165,
VA,Virginia,02/01/2020,Y,U,Y,28857,Includes Renewals and/or Redeterminations,N/A,,28857,Includes Renewals and/or Redeterminations,32249,Includes Renewals and/or Redeterminations,1245,Includes Renewals and/or Redeterminations,33494,Includes Renewals and/or Redeterminations,756692,,1426912,,35.7449,-86.7489,"(35.7449, -86.7489)",1270407,,156505,
IN,Indiana,02/01/2020,Y,U,Y,85121,,N/A,,85121,,37147,,3371,,40518,,817962,,1503094,,40.3363,-89.0022,"(40.3363, -89.0022)",1386344,,116750,
MT,Montana,02/01/2020,Y,U,Y,4768,,N/A,,4768,,4739,,625,,5364,,114894,,252740,,14.8058,145.5505,"(14.8058, 145.5505)",226604,,26136,
VT,Vermont,02/01/2020,Y,U,Y,2636,,2258,,4894,Includes Renewals and/or Redeterminations,4522,Includes Renewals and/or Redeterminations,149,,4671,,60890,,151167,,31.106,-97.6475,"(31.106, -97.6475)",146490,,4677,
NE,Nebraska,02/01/2020,N,U,Y,5531,,N/A,,5531,,5120,,863,,5983,,165414,,248633,,35.6411,-79.8431,"(35.6411, -79.8431)",213145,,35488,
CT,Connecticut,02/01/2020,Y,U,Y,5048,,12401,,17449,,15642,,342,,15984,,331656,,844967,,39.0646,-105.3272,"(39.0646, -105.3272)",824549,,20418,
FL,Florida,02/01/2020,N,U,Y,257496,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,257496,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,176622,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,20964,,197586,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2410942,,3600457,,39.3498,-75.5148,"(39.3498, -75.5148)",3359727,,240730,
AK,Alaska,02/01/2020,Y,U,Y,3811,Includes Renewals and/or Redeterminations,N/A,,3811,Includes Renewals and/or Redeterminations,3211,Includes Renewals and/or Redeterminations; Includes CHIP,114,,3325,Includes Renewals and/or Redeterminations,97379,,222941,,61.385,-152.2683,"(61.385, -152.2683)",206251,,16690,
OR,Oregon,02/01/2020,Y,U,Y,11210,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11210,Does Not Include All Non-MAGI Applications,20383,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2737,,23120,Does Not Include All Non-MAGI Determinations Made At Application,416860,,1002190,,40.3736,-82.7755,"(40.3736, -82.7755)",872851,,129339,
MD,Maryland,02/01/2020,Y,U,Y,7062,,80690,Includes Renewals and/or Redeterminations,87752,Includes Renewals and/or Redeterminations,45680,Includes Renewals and/or Redeterminations,5112,Includes Renewals and/or Redeterminations,50792,Includes Renewals and/or Redeterminations,622062,,1330660,,42.2373,-71.5314,"(42.2373, -71.5314)",1189762,,140898,
NH,New Hampshire,02/01/2020,Y,U,Y,7138,,N/A,,7138,,4533,,587,,5120,,89507,,181726,,47.5362,-99.793,"(47.5362, -99.793)",166220,,15506,
WI,Wisconsin,02/01/2020,N,U,Y,22410,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,22410,Does Not Include All Applications for Limited-Benefit Programs,16474,"Count is of Households, Not Individuals",1125,,17599,,506220,,1050981,,37.768,-78.2057,"(37.768, -78.2057)",980183,,70798,
GA,Georgia,02/01/2020,N,U,Y,41522,,N/A,,41522,,22779,,1081,,23860,,1268470,,1833759,,27.8333,-81.717,"(27.8333, -81.717)",1618807,,214952,
SC,South Carolina,02/01/2020,N,U,Y,25578,,N/A,,25578,,7364,Does not Include All Medicaid Determinations made at Applications,213,Does not Include All CHIP Determinations made at Applications,7577,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,648589,,1036982,,40.5773,-77.264,"(40.5773, -77.264)",941154,,95828,
MO,Missouri,02/01/2020,N,U,Y,20344,Includes  Renewals and/or Redeterminations,N/A,,20344,Includes  Renewals and/or Redeterminations,9531,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",547,Includes Renewals and/or Redeterminations,10078,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",536875,,855282,,45.7326,-93.9196,"(45.7326, -93.9196)",818245,,37037,
CA,California,02/01/2020,Y,U,Y,178503,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,178503,,181946,Does Not Include All Medicaid Determinations Made At Application,17916,Does Not Include All CHIP Determinations Made At Application,199862,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4806615,,11590601,,33.7712,-111.3877,"(33.7712, -111.3877)",10274859,,1315742,
ME,Maine,02/01/2020,Y,U,Y,5866,,N/A,,5866,,10285,,627,,10912,,102674,,222650,,39.0724,-76.7902,"(39.0724, -76.7902)",210419,,12231,
PA,Pennsylvania,02/01/2020,Y,U,Y,90788,Includes Renewals and/or Redeterminations,N/A,,90788,Includes Renewals and/or Redeterminations,84637,Includes Renewals and/or Redeterminations,10410,,95047,Includes Renewals and/or Redeterminations,1383641,,2934949,,35.5376,-96.9247,"(35.5376, -96.9247)",2748758,,186191,
SD,South Dakota,02/01/2020,N,U,Y,2240,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2240,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1406,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1406,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",77955,,109585,,18.2766,-66.335,"(18.2766, -66.335)",93838,,15747,
NY,New York,02/01/2020,Y,U,Y,,,962212,Includes Renewals and/or Redeterminations,962212,Includes Renewals and/or Redeterminations,109629,Includes Renewals and/or Redeterminations,9008,Includes Renewals and/or Redeterminations,118637,Includes Renewals and/or Redeterminations,2389703,,5987770,,34.8375,-106.2371,"(34.8375, -106.2371)",5375915,,611855,
OH,Ohio,02/01/2020,Y,U,Y,64447,Includes Renewals and/or Redeterminations,N/A,,64447,Includes Renewals and/or Redeterminations,51285,Includes CHIP; Includes Renewals and/or Redeterminations,3039,,54324,Includes Renewals and/or Redeterminations,1152914,,2596917,,38.4199,-117.1219,"(38.4199, -117.1219)",2398039,,198878,
NC,North Carolina,02/01/2020,N,U,Y,23315,,N/A,,23315,,29889,,3088,,32977,,1189125,,1770394,,32.7673,-89.6812,"(32.7673, -89.6812)",1489489,,280905,
AR,Arkansas,02/01/2020,Y,U,Y,19260,,N/A,,19260,,18427,,1064,,19491,,370840,,802939,,34.9513,-92.3809,"(34.9513, -92.3809)",769245,,33694,
UT,Utah,02/01/2020,N,U,Y,15304,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,15304,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",53540,Includes CHIP,,,53540,,184630,,313899,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",272342,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41557,
MI,Michigan,02/01/2020,Y,U,Y,50956,,N/A,,50956,,45078,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1819,,46897,,944233,Does Not Include All Full-Benefit Child Medicaid enrollees,2330401,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2263269,Does Not Include All Full-Benefit Medicaid enrollees,67132,
DE,Delaware,02/01/2020,Y,U,Y,3127,,N/A,,3127,,4378,,723,,5101,,104741,,229794,,38.8964,-77.0262,"(38.8964, -77.0262)",218056,,11738,
AZ,Arizona,02/01/2020,Y,U,Y,87142,,N/A,,87142,,,,,,,,,,1705789,,14.2417,-170.7197,"(14.2417, -170.7197)",1608272,,97517,
LA,Louisiana,02/01/2020,Y,U,Y,22041,,N/A,,22041,,28623,,2019,,30642,,720218,,1500359,,37.669,-84.6514,"(37.669, -84.6514)",1381698,,118661,
MN,Minnesota,02/01/2020,Y,U,Y,6242,,19431,,25673,,17136,,50,,17186,,530743,,1044409,,43.3504,-84.5603,"(43.3504, -84.5603)",1042929,,1480,
WY,Wyoming,02/01/2020,N,U,Y,1627,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1627,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,882,,32,,914,,37242,,56082,,44.0407,-72.7093,"(44.0407, -72.7093)",51626,,4456,
