State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TN,Tennessee,03/01/2019,N,U,Y,10886,,N/A,,10886,,,,,,,,,,1440079,,41.6772,-71.5101,"(41.6772, -71.5101)",1386672,,53407,
NM,New Mexico,03/01/2019,Y,U,Y,12054,,N/A,,12054,,17822,,9380,,27202,,329997,Includes Limited-Benefit Enrollees,728860,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",691007,Includes Limited-Benefit Enrollees,37853,
MT,Montana,03/01/2019,Y,U,Y,3610,,N/A,,3610,,4048,,368,,4416,,127388,,278685,,14.8058,145.5505,"(14.8058, 145.5505)",249170,,29515,
OH,Ohio,03/01/2019,Y,U,Y,70905,Includes Renewals and/or Redeterminations,N/A,,70905,Includes Renewals and/or Redeterminations,59595,Includes CHIP; Includes Renewals and/or Redeterminations,3082,,62677,Includes Renewals and/or Redeterminations,1182554,,2650993,,38.4199,-117.1219,"(38.4199, -117.1219)",2446448,,204545,
FL,Florida,03/01/2019,N,U,Y,251925,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,251925,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,172800,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,22702,,195502,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2448784,,3655668,,39.3498,-75.5148,"(39.3498, -75.5148)",3423439,,232229,
TX,Texas,03/01/2019,N,U,Y,129669,,N/A,,129669,,87561,,15574,,103135,,3376850,,4278690,,33.8191,-80.9066,"(33.8191, -80.9066)",3674836,,603854,
MD,Maryland,03/01/2019,Y,U,Y,8101,,86070,Includes Renewals and/or Redeterminations,94171,Includes Renewals and/or Redeterminations,30083,Includes Renewals and/or Redeterminations,3209,Includes Renewals and/or Redeterminations,33292,Includes Renewals and/or Redeterminations,620780,,1318895,,42.2373,-71.5314,"(42.2373, -71.5314)",1163490,,155405,
HI,Hawaii,03/01/2019,Y,U,Y,4995,,N/A,,4995,,5089,,350,,5439,,140249,,329688,,32.9866,-83.6487,"(32.9866, -83.6487)",304337,,25351,
CT,Connecticut,03/01/2019,Y,U,Y,5522,Includes Duplicates,11352,Includes Duplicates; Includes Renewals and/or Redeterminations,16874,Includes Duplicates,14364,Includes Renewals and/or Redeterminations,339,Includes Renewals and/or Redeterminations,14703,Includes Renewals and/or Redeterminations,338013,,867305,,39.0646,-105.3272,"(39.0646, -105.3272)",847517,,19788,
WY,Wyoming,03/01/2019,N,U,Y,1431,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1431,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,795,,35,,830,,38647,,57835,,44.0407,-72.7093,"(44.0407, -72.7093)",53162,,4673,
ID,Idaho,03/01/2019,Y,U,Y,7693,,,,7693,,6319,,589,,6908,,193675,,271203,,42.0046,-93.214,"(42.0046, -93.214)",244691,,26512,
DC,District of Columbia,03/01/2019,Y,U,Y,2075,Includes SBM data,1758,,3833,Includes Renewals and/or Redeterminations,4001,Includes Renewals and/or Redeterminations; Includes CHIP,,,4001,,,,254463,,41.5834,-72.7622,"(41.5834, -72.7622)",238001,,16462,
MO,Missouri,03/01/2019,N,U,Y,20913,,N/A,,20913,,10159,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",559,Includes Renewals and/or Redeterminations,10718,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",569744,,899476,,45.7326,-93.9196,"(45.7326, -93.9196)",865647,,33829,
MN,Minnesota,03/01/2019,Y,U,Y,6284,,22346,,28630,,22062,,49,,22111,,528027,,1050156,,43.3504,-84.5603,"(43.3504, -84.5603)",1048892,,1264,
ME,Maine,03/01/2019,Y,U,Y,8118,,N/A,,8118,,10924,,511,,11435,,107756,,228044,,39.0724,-76.7902,"(39.0724, -76.7902)",217076,,10968,
VA,Virginia,03/01/2019,Y,U,Y,31564,Includes Renewals and/or Redeterminations,N/A,,31564,Includes Renewals and/or Redeterminations,28056,Includes Renewals and/or Redeterminations,775,Includes Renewals and/or Redeterminations,28831,Includes Renewals and/or Redeterminations,726250,,1291923,,35.7449,-86.7489,"(35.7449, -86.7489)",1147269,,144654,
KY,Kentucky,03/01/2019,Y,U,Y,9024,,,,9024,,16726,,1586,,18312,,554150,,1312071,,38.5111,-96.8005,"(38.5111, -96.8005)",1222301,,89770,
IA,Iowa,03/01/2019,Y,U,Y,15151,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15151,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1247,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1247,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336587,,673063,,21.1098,-157.5311,"(21.1098, -157.5311)",599171,,73892,
AK,Alaska,03/01/2019,Y,U,Y,3588,Includes Renewals and/or Redeterminations,N/A,,3588,Includes Renewals and/or Redeterminations,3363,Includes Renewals and/or Redeterminations; Includes CHIP,271,,3634,Includes Renewals and/or Redeterminations,96256,,217793,,61.385,-152.2683,"(61.385, -152.2683)",202397,,15396,
PA,Pennsylvania,03/01/2019,Y,U,Y,95678,Includes Renewals and/or Redeterminations,N/A,,95678,Includes Renewals and/or Redeterminations,87958,Includes Renewals and/or Redeterminations,9846,,97804,Includes Renewals and/or Redeterminations,1395959,,2963045,,35.5376,-96.9247,"(35.5376, -96.9247)",2781660,,181385,
NY,New York,03/01/2019,Y,U,Y,,,897673,,897673,,105554,,7100,,112654,,2442391,,6122371,,34.8375,-106.2371,"(34.8375, -106.2371)",5542288,,580083,
SC,South Carolina,03/01/2019,N,U,Y,24125,,N/A,,24125,,5651,Does Not Include All Medicaid Determinations Made At Application,313,Does Not Include All Medicaid Determinations Made At Application,5964,Does Not Include All Medicaid Determinations Made At Application,659644,,1053679,,40.5773,-77.264,"(40.5773, -77.264)",962728,,90951,
CO,Colorado,03/01/2019,Y,U,Y,22705,,103,,22808,,19553,,421,,19974,,586258,,1312125,,36.17,-119.7462,"(36.17, -119.7462)",1229610,,82515,
NH,New Hampshire,03/01/2019,Y,U,Y,8104,,N/A,,8104,,4719,,469,,5188,,90339,,181447,,47.5362,-99.793,"(47.5362, -99.793)",166526,,14921,
GA,Georgia,03/01/2019,N,U,Y,42435,,N/A,,42435,,27076,,919,,27995,,1254284,,1832021,,27.8333,-81.717,"(27.8333, -81.717)",1617553,,214468,
DE,Delaware,03/01/2019,Y,U,Y,2847,,N/A,,2847,,4763,,754,,5517,,106193,,232358,,38.8964,-77.0262,"(38.8964, -77.0262)",220871,,11487,
NJ,New Jersey,03/01/2019,Y,U,Y,41430,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,41430,Does Not Include All Non-MAGI Applications,18351,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,7733,,26084,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,822523,,1729014,,41.1289,-98.2883,"(41.1289, -98.2883)",1513945,,215069,
WV,West Virginia,03/01/2019,Y,U,Y,22002,,N/A,,22002,,12069,,699,,12768,,216979,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),517439,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",483351,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34088,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MI,Michigan,03/01/2019,Y,U,Y,53684,,N/A,,53684,,47343,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1750,,49093,,951440,Does Not Include All Full-Benefit Child Medicaid enrollees,2347936,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2285967,Does Not Include All Full-Benefit Medicaid enrollees,61969,
NC,North Carolina,03/01/2019,N,U,Y,21212,,N/A,,21212,,32061,,3649,,35710,,1183197,,1748628,,32.7673,-89.6812,"(32.7673, -89.6812)",1484985,,263643,
LA,Louisiana,03/01/2019,Y,U,Y,31342,,N/A,,31342,,43468,,5369,,48837,,752636,,1597640,,37.669,-84.6514,"(37.669, -84.6514)",1458128,,139512,
IL,Illinois,03/01/2019,Y,U,Y,66749,,N/A,,66749,,26602,,9161,,35763,,1336925,,2800206,,44.2394,-114.5103,"(44.2394, -114.5103)",2542959,,257247,
KS,Kansas,03/01/2019,N,U,Y,,,N/A,,,,,,,,,,265720,,381525,,39.8647,-86.2604,"(39.8647, -86.2604)",325130,,56395,
UT,Utah,03/01/2019,N,U,Y,22417,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,22417,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",54319,Includes CHIP,,,54319,,193791,,287706,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",245886,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41820,
RI,Rhode Island,03/01/2019,Y,U,Y,1975,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1975,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3112,,427,,3539,,122261,,304979,,44.5672,-122.1269,"(44.5672, -122.1269)",271732,,33247,
CA,California,03/01/2019,Y,U,Y,154829,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,154829,,153728,Does Not Include All Medicaid Determinations Made At Application,13946,Does Not Include All CHIP Determinations Made At Application,167674,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4956900,,11874143,,33.7712,-111.3877,"(33.7712, -111.3877)",10560707,,1313436,
