State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
UT,Utah,08/01/2019,N,U,Y,16002,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,16002,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",54519,Includes CHIP,,,54519,,189739,,310235,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",268242,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41993,
AK,Alaska,08/01/2019,Y,U,Y,3183,Includes Renewals and/or Redeterminations,N/A,,3183,Includes Renewals and/or Redeterminations,2820,Includes Renewals and/or Redeterminations; Includes CHIP,134,,2954,Includes Renewals and/or Redeterminations,97472,,221946,,61.385,-152.2683,"(61.385, -152.2683)",206020,,15926,
NC,North Carolina,08/01/2019,N,U,Y,24002,,N/A,,24002,,35304,,3334,,38638,,1172301,,1737811,,32.7673,-89.6812,"(32.7673, -89.6812)",1469665,,268146,
GA,Georgia,08/01/2019,N,U,Y,48255,,N/A,,48255,,27882,,840,,28722,,1273444,,1851137,,27.8333,-81.717,"(27.8333, -81.717)",1640383,,210754,
ID,Idaho,08/01/2019,Y,U,Y,12515,,,,12515,,10182,,1179,,11361,,183224,,259850,,42.0046,-93.214,"(42.0046, -93.214)",233930,,25920,
MO,Missouri,08/01/2019,N,U,Y,24087,Includes  Renewals and/or Redeterminations,N/A,,24087,Includes  Renewals and/or Redeterminations,12292,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",501,Includes Renewals and/or Redeterminations,12793,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",536291,,855620,,45.7326,-93.9196,"(45.7326, -93.9196)",820497,,35123,
AZ,Arizona,08/01/2019,Y,U,Y,116957,,N/A,,116957,,,,,,,,,,1722540,,14.2417,-170.7197,"(14.2417, -170.7197)",1621721,,100819,
MS,Mississippi,08/01/2019,N,U,Y,22127,,N/A,,22127,,13773,,765,,14538,,420307,,620620,,38.4623,-92.302,"(38.4623, -92.302)",543630,,76990,
SD,South Dakota,08/01/2019,N,U,Y,2874,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2874,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1670,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1670,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78229,,110043,,18.2766,-66.335,"(18.2766, -66.335)",94510,,15533,
WA,Washington,08/01/2019,Y,U,Y,69359,,69420,,138779,,100094,,1850,,101944,,822074,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1710275,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1641866,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),68409,
OK,Oklahoma,08/01/2019,N,U,Y,51443,Includes Renewals and/or Redeterminations,N/A,,51443,Includes Renewals and/or Redeterminations,47415,Includes Renewals and/or Redeterminations,7051,,54466,Includes Renewals and/or Redeterminations,512598,,730878,,42.1497,-74.9384,"(42.1497, -74.9384)",608468,,122410,
AL,Alabama,08/01/2019,N,U,Y,14285,,N/A,,14285,,15599,,2133,,17732,,661510,,925263,,32.799,-86.8073,"(32.799, -86.8073)",751874,,173389,
IL,Illinois,08/01/2019,Y,U,Y,71866,,N/A,,71866,,22304,,8060,,30364,,1350105,,2840200,,44.2394,-114.5103,"(44.2394, -114.5103)",2572255,,267945,
NH,New Hampshire,08/01/2019,Y,U,Y,8283,,N/A,,8283,,5276,,587,,5863,,89254,,178753,,47.5362,-99.793,"(47.5362, -99.793)",163884,,14869,
PA,Pennsylvania,08/01/2019,Y,U,Y,97905,Includes Renewals and/or Redeterminations,N/A,,97905,Includes Renewals and/or Redeterminations,92456,Includes Renewals and/or Redeterminations,10917,,103373,Includes Renewals and/or Redeterminations,1395389,,2955060,,35.5376,-96.9247,"(35.5376, -96.9247)",2770248,,184812,
CO,Colorado,08/01/2019,Y,U,Y,22220,,77,,22297,,18999,,326,,19325,,578103,,1293450,,36.17,-119.7462,"(36.17, -119.7462)",1211549,,81901,
ND,North Dakota,08/01/2019,Y,U,Y,2254,,N/A,,2254,,2495,,83,,2578,,42251,,89842,,46.9048,-110.3261,"(46.9048, -110.3261)",87711,,2131,
HI,Hawaii,08/01/2019,Y,U,Y,5271,,N/A,,5271,,6186,,484,,6670,,140037,,328923,,32.9866,-83.6487,"(32.9866, -83.6487)",303347,,25576,
NJ,New Jersey,08/01/2019,Y,U,Y,38135,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,38135,Does Not Include All Non-MAGI Applications,18684,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6009,,24693,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,816698,,1711670,,41.1289,-98.2883,"(41.1289, -98.2883)",1487174,,224496,
MA,Massachusetts,08/01/2019,Y,U,Y,18270,,2922,,21192,,16471,,1188,,17659,,671127,,1566850,,31.1801,-91.8749,"(31.1801, -91.8749)",1383531,,183319,
MI,Michigan,08/01/2019,Y,U,Y,61212,,N/A,,61212,,57505,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,2025,,59530,,936048,Does Not Include All Full-Benefit Child Medicaid enrollees,2297921,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2233415,Does Not Include All Full-Benefit Medicaid enrollees,64506,
FL,Florida,08/01/2019,N,U,Y,284481,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,284481,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,185644,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21109,,206753,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2444994,,3652059,,39.3498,-75.5148,"(39.3498, -75.5148)",3412500,,239559,
WY,Wyoming,08/01/2019,N,U,Y,1703,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1703,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1118,,41,,1159,,36633,,55368,,44.0407,-72.7093,"(44.0407, -72.7093)",51063,,4305,
VA,Virginia,08/01/2019,Y,U,Y,32777,Includes Renewals and/or Redeterminations,N/A,,32777,Includes Renewals and/or Redeterminations,22680,Includes Renewals and/or Redeterminations,772,Includes Renewals and/or Redeterminations,23452,Includes Renewals and/or Redeterminations,735791,,1346606,,35.7449,-86.7489,"(35.7449, -86.7489)",1200523,,146083,
IA,Iowa,08/01/2019,Y,U,Y,15833,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15833,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1012,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1012,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339329,,678991,,21.1098,-157.5311,"(21.1098, -157.5311)",603062,,75929,
MN,Minnesota,08/01/2019,Y,U,Y,5968,,18563,,24531,,18598,,69,,18667,,530339,,1047075,,43.3504,-84.5603,"(43.3504, -84.5603)",1045767,,1308,
AR,Arkansas,08/01/2019,Y,U,Y,21808,,N/A,,21808,,15822,,1008,,16830,,373473,,798839,,34.9513,-92.3809,"(34.9513, -92.3809)",765950,,32889,
