State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
ND,North Dakota,12/01/2019,Y,U,Y,2821,,N/A,,2821,,2299,,87,,2386,,42063,,89370,,46.9048,-110.3261,"(46.9048, -110.3261)",87341,,2029,
SC,South Carolina,12/01/2019,N,U,Y,23166,,N/A,,23166,,7353,Does not Include All Medicaid Determinations made at Applications,158,Does not Include All CHIP Determinations made at Applications,7511,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,653818,,1044183,,40.5773,-77.264,"(40.5773, -77.264)",949731,,94452,
WV,West Virginia,12/01/2019,Y,U,Y,18447,,N/A,,18447,,10599,,599,,11198,,212827,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),507398,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",473189,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34209,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
TN,Tennessee,12/01/2019,N,U,Y,17568,,N/A,,17568,,10470,,1668,,12138,,822781,,1452381,,41.6772,-71.5101,"(41.6772, -71.5101)",1340385,,111996,
IN,Indiana,12/01/2019,Y,U,Y,86490,,N/A,,86490,,32822,,3169,,35991,,809326,,1485826,,40.3363,-89.0022,"(40.3363, -89.0022)",1370860,,114966,
MA,Massachusetts,12/01/2019,Y,U,Y,15256,,3102,,18358,,10961,,697,,11658,,676992,,1567780,,31.1801,-91.8749,"(31.1801, -91.8749)",1375777,,192003,
OR,Oregon,12/01/2019,Y,U,Y,13083,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13083,Does Not Include All Non-MAGI Applications,21911,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2287,,24198,Does Not Include All Non-MAGI Determinations Made At Application,415843,,996363,,40.3736,-82.7755,"(40.3736, -82.7755)",867048,,129315,
NE,Nebraska,12/01/2019,N,U,Y,5853,,N/A,,5853,,5691,,1550,,7241,,165238,,247737,,35.6411,-79.8431,"(35.6411, -79.8431)",212229,,35508,
WA,Washington,12/01/2019,Y,U,Y,69741,,121852,,191593,,107961,,2637,,110598,,821938,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1716764,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1644497,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),72267,
AZ,Arizona,12/01/2019,Y,U,Y,94909,,N/A,,94909,,,,,,,,,,1708073,,14.2417,-170.7197,"(14.2417, -170.7197)",1610623,,97450,
TX,Texas,12/01/2019,N,U,Y,116949,,N/A,,116949,,74359,,11587,,85946,,3292170,,4180368,,33.8191,-80.9066,"(33.8191, -80.9066)",3601631,,578737,
GA,Georgia,12/01/2019,N,U,Y,39573,,N/A,,39573,,21571,,866,,22437,,1253117,,1816358,,27.8333,-81.717,"(27.8333, -81.717)",1609186,,207172,
MN,Minnesota,12/01/2019,Y,U,Y,6310,,38162,,44472,,21088,,59,,21147,,530100,,1044160,,43.3504,-84.5603,"(43.3504, -84.5603)",1042758,,1402,
PA,Pennsylvania,12/01/2019,Y,U,Y,92703,Includes Renewals and/or Redeterminations,N/A,,92703,Includes Renewals and/or Redeterminations,88845,Includes Renewals and/or Redeterminations,12091,,100936,Includes Renewals and/or Redeterminations,1387360,,2938411,,35.5376,-96.9247,"(35.5376, -96.9247)",2752452,,185959,
DE,Delaware,12/01/2019,Y,U,Y,5245,,N/A,,5245,,4270,,726,,4996,,105417,,230983,,38.8964,-77.0262,"(38.8964, -77.0262)",219296,,11687,
HI,Hawaii,12/01/2019,Y,U,Y,4719,,N/A,,4719,,6107,,530,,6637,,139123,,326337,,32.9866,-83.6487,"(32.9866, -83.6487)",300760,,25577,
NH,New Hampshire,12/01/2019,Y,U,Y,7078,,N/A,,7078,,5831,,881,,6712,,89779,,181753,,47.5362,-99.793,"(47.5362, -99.793)",166028,,15725,
IA,Iowa,12/01/2019,Y,U,Y,13615,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13615,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,12485,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,2380,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,14865,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,338977,,679651,,21.1098,-157.5311,"(21.1098, -157.5311)",600778,,78873,
MO,Missouri,12/01/2019,N,U,Y,20542,Includes  Renewals and/or Redeterminations,N/A,,20542,Includes  Renewals and/or Redeterminations,8900,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",420,Includes Renewals and/or Redeterminations,9320,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",532044,,847982,,45.7326,-93.9196,"(45.7326, -93.9196)",811549,,36433,
NC,North Carolina,12/01/2019,N,U,Y,22640,,N/A,,22640,,27203,,2814,,30017,,1191821,,1772156,,32.7673,-89.6812,"(32.7673, -89.6812)",1492350,,279806,
CA,California,12/01/2019,Y,U,Y,200344,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,200344,,146232,Does Not Include All Medicaid Determinations Made At Application,11660,Does Not Include All CHIP Determinations Made At Application,157892,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4824710,,11588323,,33.7712,-111.3877,"(33.7712, -111.3877)",10275195,,1313128,
MT,Montana,12/01/2019,Y,U,Y,5035,,N/A,,5035,,5032,,751,,5783,,118937,,260710,,14.8058,145.5505,"(14.8058, 145.5505)",233127,,27583,
VT,Vermont,12/01/2019,Y,U,Y,2648,,2481,,5129,Includes Renewals and/or Redeterminations,4896,Includes Renewals and/or Redeterminations,142,,5038,,61091,,151190,,31.106,-97.6475,"(31.106, -97.6475)",146536,,4654,
LA,Louisiana,12/01/2019,Y,U,Y,30211,,N/A,,30211,,32442,,3278,,35720,,699360,,1468338,,37.669,-84.6514,"(37.669, -84.6514)",1356282,,112056,
AR,Arkansas,12/01/2019,Y,U,Y,30851,,N/A,,30851,,14941,,1367,,16308,,375123,,811360,,34.9513,-92.3809,"(34.9513, -92.3809)",777252,,34108,
OH,Ohio,12/01/2019,Y,U,Y,65952,Includes Renewals and/or Redeterminations,N/A,,65952,Includes Renewals and/or Redeterminations,50724,Includes CHIP; Includes Renewals and/or Redeterminations,2976,,53700,Includes Renewals and/or Redeterminations,1158803,,2609614,,38.4199,-117.1219,"(38.4199, -117.1219)",2411873,,197741,
MI,Michigan,12/01/2019,Y,U,Y,51601,,N/A,,51601,,52835,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,2578,,55413,,941178,Does Not Include All Full-Benefit Child Medicaid enrollees,2320304,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2252826,Does Not Include All Full-Benefit Medicaid enrollees,67478,
FL,Florida,12/01/2019,N,U,Y,241234,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,241234,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,145627,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,22977,,168604,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2418906,,3613005,,39.3498,-75.5148,"(39.3498, -75.5148)",3374862,,238143,
AK,Alaska,12/01/2019,Y,U,Y,3283,Includes Renewals and/or Redeterminations,N/A,,3283,Includes Renewals and/or Redeterminations,2925,Includes Renewals and/or Redeterminations; Includes CHIP,175,,3100,Includes Renewals and/or Redeterminations,97820,,223065,,61.385,-152.2683,"(61.385, -152.2683)",206423,,16642,
MS,Mississippi,12/01/2019,N,U,Y,16265,,N/A,,16265,,11586,,861,,12447,,418431,,616093,,38.4623,-92.302,"(38.4623, -92.302)",539079,,77014,
MD,Maryland,12/01/2019,Y,U,Y,6783,,104628,Includes Renewals and/or Redeterminations,111411,Includes Renewals and/or Redeterminations,38419,Includes Renewals and/or Redeterminations,6116,Includes Renewals and/or Redeterminations,44535,Includes Renewals and/or Redeterminations,620241,,1328704,,42.2373,-71.5314,"(42.2373, -71.5314)",1187568,,141136,
OK,Oklahoma,12/01/2019,N,U,Y,44483,Includes Renewals and/or Redeterminations,N/A,,44483,Includes Renewals and/or Redeterminations,44157,Includes Renewals and/or Redeterminations,9394,,53551,Includes Renewals and/or Redeterminations,500283,,713247,,42.1497,-74.9384,"(42.1497, -74.9384)",596867,,116380,
SD,South Dakota,12/01/2019,N,U,Y,3313,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,3313,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1449,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1449,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",77491,,108795,,18.2766,-66.335,"(18.2766, -66.335)",93182,,15613,
