State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Washington,1794778,578291,565071,13220,2018,8,2017,9,
Hawaii,328358,117409,22097,95312,2018,8,2017,8,
Oklahoma,674517,,,,2018,8,2017,7,
Oklahoma,660002,,,,2018,8,2017,9,
Washington,1810652,589136,575705,13431,2018,8,2017,8,
Vermont,177019,58001,0,58001,2018,8,2017,9,
Rhode Island,312665,71865,71865,0,2018,8,2017,7,
Puerto Rico,1232367,363793,,363793,2018,8,2017,9,
South Carolina,1239246,,,,2018,8,2017,7,
New Hampshire,190114,54900,54793,107,2018,8,2017,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Illinois,2858410,679047,637932,41115,2018,8,2017,7,
South Dakota,106038,,,,2018,8,2017,7,
Puerto Rico,1220298,356266,,356266,2018,8,2017,8,
Wisconsin,1187842,,,,2018,8,2017,7,
Louisiana,1636026,445779,445779,0,2018,8,2017,8,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Utah,297094,,,,2018,8,2017,9,
Missouri,976896,,,,2018,8,2017,8,
Indiana,1362344,447335,322660,124675,2018,8,2017,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,3026579,669717,634118,35599,2018,8,2017,9,
Michigan,1619071,687185,632736,54449,2018,8,2017,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Alabama,1018034,,,,2018,8,2017,9,
Kansas,368675,,,,2018,8,2017,9,
Maryland,1213267,305011,305011,0,2018,8,2017,7,
Massachusetts,1765804,365077,0,365077,2018,8,2017,8,
New Jersey,1662258,552376,552376,0,2018,8,2017,8,
Wisconsin,1186598,,,,2018,8,2017,8,
Texas,4309351,,,,2018,8,2017,7,
Arkansas,935505,313381,312915,466,2018,8,2017,7,
Nebraska,259498,,,,2018,8,2017,7,
Nevada,591931,211428,211428,0,2018,8,2017,9,
Vermont,182296,60016,0,60016,2018,8,2017,7,
Virginia,1036711,,,,2018,8,2017,9,
West Virginia,551159,173487,173487,0,2018,8,2017,7,
Puerto Rico,1250067,372142,,372142,2018,8,2017,7,
Louisiana,1632684,442007,442007,0,2018,8,2017,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Illinois,2836984,672016,630721,41295,2018,8,2017,8,
Hawaii,331187,118412,22220,96192,2018,8,2017,7,
Pennsylvania,2725301,795621,754415,41206,2018,8,2017,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Michigan,1622472,688346,634264,54082,2018,8,2017,8,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Tennessee,1565013,,,,2018,8,2017,7,
Michigan,1595179,674014,622318,51696,2018,8,2017,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
American Samoa,41214,,,,2018,8,2017,7,
American Samoa,41214,,,,2018,8,2017,9,
Hawaii,320465,115315,21648,93667,2018,8,2017,9,
Alaska,184692,37204,37089,115,2018,8,2017,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Wyoming,60654,,,,2018,8,2017,7,
Florida,3956624,,,,2018,8,2017,9,
Alaska,182900,37144,37036,108,2018,8,2017,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Idaho,318329,,,,2018,8,2017,7,
Oregon,978021,469310,391462,77848,2018,8,2017,8,
Maryland,1216142,306266,306266,0,2018,8,2017,8,
Missouri,972181,,,,2018,8,2017,9,
Nebraska,257895,,,,2018,8,2017,9,
Kansas,372124,,,,2018,8,2017,8,
Iowa,593691,151003,139366,11637,2018,8,2017,7,
N. Mariana Islands,15472,,,,2018,8,2017,7,
Rhode Island,311278,70681,70681,0,2018,8,2017,8,
Minnesota,1083265,205637,204761,876,2018,8,2017,8,
